qstr_Next_Page|Page suivante
qstr_{s5}_and_{s6}|{s5} et {s6}
qstr_Your_estates_are:_{s|Vos fiefs sont : {s8}.^{s9}
qstr_Current_party_size_l|L'effectif maximal du groupe est actuellement de {reg5}.^Les facteurs influant sur l'effectif maximum du groupe sont:^^Effectif de base : +30^Commandement : {s2}{reg1}^Charisme : {s3}{reg2}^Renommée : {s4}{reg3}^TOTAL : {reg5}
qstr_Loyal|Idéales
qstr_Devoted|Exceptionnelles
qstr_Fond|Excellentes
qstr_Gracious|Très bonnes
qstr_Friendly|Amicales
qstr_Supportive|Cordiales
qstr_Favorable|Favorables
qstr_Cooperative|Coopératives
qstr_Accepting|Tolérantes
qstr_Indifferent|Neutres
qstr_Suspicious|Mitigées
qstr_Grumbling|Tendues
qstr_Hostile|Hostiles
qstr_Resentful|Pleines de rancoeur
qstr_Angry|Agressives
qstr_Hateful|Haineuses
qstr_Revengeful|Exécrables
qstr_Vengeful|Atroces
qstr_Your_relation_with_t|Vos relations avec les factions sont :^{s2}
qstr_Player_renown_is_inc|La renommée du joueur est augmentée de 100. 
qstr_Player_honor_is_incr|L'honneur du joueur a augmenté de 1 point et est maintenant de {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?acceptent:accepte} votre offre.
qstr_No_one_accepts_the_o|Personne n'accepte votre offre...
qstr_You_start_reading_{s|Vous commencez à lire {s2}. Vous le gardez près de vous afin d'en lire quelques pages à chaque fois que vous en aurez l'occasion.
qstr_You_flip_through_the|Après avoir lu quelques pages du livre, vous vous apercevez que malgré vos efforts vous n'y comprenez pas grand chose, et une violente migraine met un terme à la lecture.
qstr_Villagers|Villageois
qstr_You_have_encountered|{s1}, l'affrontement est inévitable.
qstr_You_have_engaged_{s1|Vous attaquez {s1} tandis qu'ils pillent {s3}.
qstr_You_were_caught_by_{|Vous avez été {attaqué/attaquée} par {s1} tandis que vos forces pillaient {s3}.
qstr_You_were_victorious!|Vous êtes victorieux !
qstr_Battle_was_lost._You|Vous êtes {vaincu/vaincue}. Vos forces ont été écrasées.
qstr_Your_companions_carr|Vos compagnons vous traînent hors du champs de bataille.
qstr_You_have_defeated_th|Vous avez vaincu l'ennemi.
qstr_You_have_retreated_f|Vous avez rompu l'engagement.
qstr_^^Ally_Casualties:{s|^^Pertes alliées :{s0}
qstr_{s1}_of_{s3}_managed|{s1} du {s3} a réussi à s'enfuir.
qstr_Some_of_your_tendons|Vos bras vous font souffrir le martyre. Vous perdez 1 en force.
qstr_You_took_a_nasty_wou|Vous avez reçu une vilaine blessure qui vous fera boiter, même après sa guérison. Vous perdez 1 en agilité.
qstr_You_have_trouble_thi|Vous avez du mal à vous concentrer après la bataille, peut-être à cause d'un coup particulièrement violent à la tête, et de fréquents maux de tête vous gâchent l'existence. Vous perdez 1 en intelligence.
qstr_Perhaps_I_m_getting_|Peut-être que la chance m'abandonne.
qstr_Retirement_is_starti|La retraite semble s'imposer.
qstr_No_matter!_I_will_pe|Peu importe, je persévère !
qstr_What_did_I_do_to_des|Qu'ai-je fait pour mériter cela ?
qstr_I_suppose_it_ll_make|Je suppose que ça fera au moins une bonne histoire à raconter.
qstr_{s9}_wants_you_to_fo|{s9} souhaite que vous suiviez son armée jusqu'à nouvel ordre.
qstr_{s8}_of_{s9}|{s8} du {s9}
qstr__Your_own_banner_fli|Votre bannière flotte au-dessus de la porte du château.
qstr__You_see_the_banner_|Vous reconnaissez la bannière de {s7} au-dessus de la porte du château.
qstr__Your_own_banner_flie|Votre bannière flotte au-dessus des portes de la ville.
qstr__You_see_the_banner_o|Vous reconnaissez la bannière de {s7} au-dessus des portes de la ville.
qstr_The_{reg6?town_s:cas|Les réserves {reg6?de la ville:du château} devraient permettre de tenir encore {reg3} jours.
qstr_The_{reg6?town_s:cast|Les réserves {reg6?de la ville:du château} sont épuisées et les défenseurs meurent de faim.
qstr_You_re_preparing_to_|Vous vous préparez à attaquer les murailles, le travail sera fini dans {reg9} heures.
qstr_Your_forces_are_buil|Vos hommes construisent une tour de siège (Sa construction prendra encore {reg9} heures).
qstr_You_are_ready_to_att|Vous êtes prêt à attaquer les murailles si tel est votre souhait.
qstr_The_siege_tower_is_b|La tour de siège est terminée et prête à servir.
qstr_As_a_last_defensive_|Dans un dernier effort, vous battez en retraite jusqu'au hall du donjon. Avec vos derniers soldats vous engagez un combat désespéré. Si vous êtes vaincu, cet endroit sera le dernier que vous ayez connu.
qstr_You_ve_been_driven_a|Les murs sont aux mains de l'ennemi et les assaillants se répandent dans les rues. Si vous les battez, peut-être parviendrez-vous à retourner la situation en votre faveur.
qstr_You_ve_breached_the_|Vous vous êtes emparé des murs mais les défenseurs continuent à résister dans les rues. Vous devez vous en occuper avant de pouvoir vous attaquer au château, au centre de la ville.
qstr_The_town_centre_is_y|La ville est à vous mais les défenseurs restants ont battu en retraite dans le château. Il faut vous en emparer afin de compléter votre victoire.
qstr_The_remaining_defend|Les défenseurs restants se sont retranchés dans le château dans un ultime effort. Vous devez lancer l'assaut et les éliminer.
qstr_However_since_you_ar|Cependant, puisque que vous n'avez pas prêté allégeance à {s9}, il n'y a aucune chance qu'il vous attribue {reg8?cette ville:ce château}.
qstr_The_enemy_has_been_f|Les ennemis ont été contraints de battre en retraite. L'assaut est terminé mais le siège continue.
qstr_As_you_approach_you_|Les gardes du château vous voient arriver, ils souhaitent la bienvenue à leur Duc et vous ouvrent les portes.
qstr_As_you_approach_you_a|Les gardes du château vous voient arriver, ils souhaitent la bienvenue à leur seigneur et vous ouvrent les portes.
qstr__This_village_and_th|Ce village et ses alentours vous appartiennent.
qstr__You_remember_that_t|{s7} possède ce village et ses alentours.
qstr__These_lands_belong_|Ces terres n'appartiennent à personne.
qstr__The_village_is_infe|Le village est occupé par {reg8} {s35}.
qstr__The_village_has_bee|Le village a été pillé. Une poignée de survivants erre sans but tandis que vous avancez parmi les restes calcinés des maisons. 
qstr__The_village_is_bein|Le village est en train d'être pillé !
qstr_No_one_here_seems_to|Personne ici ne veut rejoindre votre groupe.
qstr_One_{s3}_volunteers_|{s3} est l'unique volontaire à vouloir rejoindre votre groupe.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} souhaitent vous suivre.
qstr_Try_as_you_might_you|Malgré vos efforts, vous n'avez pu venir à bout des bandits. Furieux, ils rasent le village jusqu'à la dernière pierre afin de punir les paysans, laissant derrière eux ruines et désolation, puis ils partent à la recherche d'autres terres à piller.
qstr_village|le village
qstr_town|la ville
qstr_castle|le château
qstr_The_{s17}_has_no_imp|Actuellement, {s17} n'a aucun aménagement.
qstr_The_{s17}_has_the_fo|Actuellement, {s17} possède des aménagements : {s18}.
qstr_The_assasins_beat_yo|Les assassins sont plus forts que vous et vous laissent pour mort.
qstr_You_have_fallen._The|Vous avez été vaincu. Les bandits fouillent rapidement votre corps à la recherche d'argent puis disparaissent dans la nuit. Ils vous laissent sur le sol, baignant dans votre sang.
qstr_Luckily_some_of_your|Alors que vous ne reveniez pas, quelques uns de vos compagnons sont partis à votre recherche. Ils vous trouvent gisant sur le bord de la route. Ils s'empressent de vous mettre à l'abri puis pansent vos plaies.
qstr_Luckily_some_passing|Par chance quelques citadins vous trouvent gisant sur le bord de la route et se rendent compte que vous n'êtes pas un simple mendiant. Ils vous transportent à l'auberge la plus proche et pansent vos plaies.
qstr_You_fail_to_steal_an|Vous ne parvenez pas à voler de bétail.
qstr_You_drive_away_{reg1|Vous emportez {reg17} {reg12?têtes:tête} de bétail du troupeau du village.
qstr_You_are_at_{s2}.|Vous êtes à {s2}.
qstr__This_castle_has_no_| La garnison du château n'a pas de régisseur.
qstr__This_town_has_no_ga| La garnison de la ville n'a pas de régisseur.
qstr__You_have_successful| Vous avez réussi à vous infiltrer.
qstr_{s13}_A_tournament_w|{s13} Un tournoi est sur le point de débuter.
qstr___{reg1}_denars_per_|(Écus par nuit : {reg1})
qstr_Moreover_you_earn_{r|Vous recevez en plus {reg8} écus, résultat de vos paris judicieux.
qstr_Victory_is_yours!_Yo|La victoire est vôtre ! Vous avez remporté ce combat. Préparez-vous maintenant pour le tour suivant. 
qstr_You_have_been_bested|Vous n'avez pas été le meilleur dans cette lutte mais le maître de cérémonie vous permet, pour votre bravoure et de votre adresse au combat, de prendre part au tour suivant. 
qstr_You_were_beaten._The|Vous avez été vaincu. Les paysans ont été encouragés par leur succès mais les leçons que vous leur avez données n'ont pas été bien suivies.
qstr_After_beating_your_l|La démonstration est terminée, vous expliquez aux volontaires comment mieux se défendre face à de telles attaques. Cette expérience leur sera sans doute profitable pour la prochaine fois.
qstr_The_bandits_are_brok|La vie vaut ce qu'elle nous a coûté d'efforts, la racaille est à terre. Les quelques survivants s'enfuient sans se retourner, terrifiés par l'ardeur des paysans et de leur nouveau champion.
qstr_{s1}_s_Ship|Le vaisseau de {s1}
qstr_However_{reg3?You_ar|Cependant, {reg3?vous êtes:{s1} est} incapable de trouver comment tirer profit de ce qui est vendu ici.
qstr_^Buying_{s4}_here_an|^Acheter {s4} ici et le revendre à {s5} devrait permettre de faire un bénéfice de {reg6} écus pour chaque pièce.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Votre groupe:{s1}} découvre ceci :^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} ont gagné {reg0} points d'expérience.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} a gagné {reg0} points d'expérience.
qstr_^You_earned_{reg0}_e|^Vous avez gagné {reg0} points d'expérience.{s2}
qstr_The_training_didn_t_|L'entraînement s'est mal passé.
qstr_The_training_didn_t_g|L'entraînement ne s'est pas très bien passé.
qstr_The_training_went_qu|L'entraînement s'est plutôt bien passé.
qstr_The_training_went_ve|L'entraînement s'est très bien passé.
qstr_The_training_went_pe|L'entraînement s'est déroulé à la perfection.
qstr_{s13}_asked_you_to_r|{s13} vous a demandé de vous présenter devant lui avec au moins {reg13} soldats.
qstr_{s13}_ordered_you_to|{s13} vous a ordonné de vous joindre au prochain assaut contre {s14}.
qstr_Find_and_speak_with_|Trouvez {s3} du {s4} pour lui prêter serment d'allégeance.
qstr_There_has_been_an_al|Il y a eu un incident frontalier : {s9}
qstr_^^Note_that_so_long_|^^Note que, tant que vous restez maréchal, les seigneurs du royaume attendent que vous les enmeniez guerroyer. Donc, si vous êtes a l'affut d'une fête, ou prepariez un mariage ou etes occupé à d'autres taches, vous devriez demissioner de votre siege de maréchal.
qstr_Breaking_camp...|Le groupe lève le camp.
qstr_Your_party_is_spotte|Votre groupe est visible de {s1}.
qstr_Party_has_nothing_to|Vous n'avez n'a rien à manger !
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?ont:a} profité de la nuit pour s'enfuir.
qstr_{s1}_of_{s3}_has_bee|{s1} du {s3} a été relâché.
qstr_Building_of_{s0}_in_|La construction de {s0} à {s4} est terminée.
qstr_{s1}_has_won_the_tou|{s1} a remporté le tournoi à {s2}.
qstr_{s1}_is_no_longer_in|{s1} n'a plus rien à craindre des bandits.
qstr_You_pay_for_accommod|Paiement des frais d'hébergement.
qstr_Betrothal_to_{s5}_ex|Les fiançailles {s5} ont expiré.
qstr__Your_tactics_skill_| Votre compétence Tactique augmente de 1.
qstr__Your_persuasion_ski| Votre compétence Persuasion augmente de 1.
qstr__Your_leadership_ski| Votre compétence Commandement augmente de 1.
qstr__Your_intelligence_h| Votre Intelligence augmente de 1.
qstr__Your_trade_skill_ha| Votre compétence Marchandage augmente de 1.
qstr__Your_weapon_master_| Votre compétence Maître d'armes augmente de 1.
qstr__Your_engineer_skill| Votre compétence Ingénierie augmente de 1.
qstr_You_have_finished_re|Vous avez terminé {s1}. {s2}
qstr_Book_Read|Livre terminé.
qstr_{s1}_is_scouted.|Vous avez exploré {s1}.
qstr_{s1}_has_switched_fr|{s1} est passé du {s2} au {s3}.
qstr_{reg65?my_Lady:my_Lo|{reg65?ma noble dame:monseigneur}
qstr_{reg65?My_Lady:My_Lo|{reg65?Ma noble dame:Monseigneur}
qstr_{reg65?madame:sir}|{reg65?madame:Messire}
qstr_{reg65?Madame:Sir}|{reg65?Madame:Messire}
qstr__no_fiefs_|(pas de fief)
qstr__fiefs:_{s0}_|(fiefs: {s0})
qstr_It_s_your_money_or_y|La bourse ou la vie, {mon gars/fillette}, et pas de gestes brusques ou on vous rentre dans le lard.
qstr_Lucky_for_you_you_ca|Vous avez de la chance, je suis de bonne humeur. Donnez-moi vos écus et peut-être vous laisserai-je la vie sauve. Une bourse vide vaut mieux que l'ennui de perdre la vie pour la conserver pleine.
qstr_This_a_robbery_eh?_I|On appelle cela du vol, je crois. Je vous laisse une chance de me donner tout ce que vous avez ou mes compagnons et moi nous vous tuerons. C'est compris ?
qstr_we_have_made_very_li|nous n'avons fait que peu de progrès jusqu'à présent.
qstr_we_have_suceeded_in_|nous avons réussi à obtenir quelques terres mais nous avons encore un long chemin à parcourir.
qstr_we_have_become_a_sig|nous avons acquis une certaine puissance et je pense que nous avons nos chances.
qstr_we_are_winning_the_w|nous sommes en passe de gagner, mais nos ennemis n'ont toujours pas lâché prise.
qstr_we_are_on_the_verge_|nous sommes sur le point de l'emporter. Les quelques ennemis qui restent ne sont plus une menace, mais nous devons continuer à les pourchasser.
qstr_Ecu|Écu
qstr_Lys|Lys
qstr_Presser_TAB_pour_con|Presser TAB pour continuer après le dialogue.
qstr_{playername}_when_we|{playername}, lorsque nous avons entamé notre quête, peu de personnes ont eu le courage de me soutenir. Et encore moins souhaitaient risquer leur vie pour ma cause. Mais vous n'avez pas hésité un seul instant à vous attaquer à nos ennemis. Nous avons eu des moments difficiles ensemble et plus d'une fois j'ai failli perdre espoir. Mais, grâce aux cieux, nous avons gagné. Il est temps pour moi maintenant de vous laisser et de prendre ce qui me revient de droit. A partir de maintenant il m'incombe l'immense responsabilité de diriger {s3}. Bien des épreuves nous attendent encore et je compte sur votre aide pour les surmonter. Et, bien entendu, vous resterez toujours mon premier et plus loyal vassal.
qstr__We_will_of_course_n|Nous attendrons bien entendu que la campagne ait pris fin.
qstr_I_am_{s4}_the_ruler_|Je suis {s4}, souverain du {s6}
qstr_I_am_{s4}_a_vassal_o|Je suis {s4} vassal du {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? et seigneur de {s8}.:.
qstr_{s13}_asked_you_to_g|{s13} vous demande de rassembler {reg3} têtes de bétail et de les lui livrer.
qstr_{s9}_asked_you_to_sc|{s9} vous demande d'explorer {s13}, {s14} et {s15}, puis de lui rapporter ce que vous y avez vu.
qstr_you|Vous
qstr_You_are_challenging_|Vous me provoquez en duel ? Comme c'est amusant, c'est comme vous voudrez, {playername}. Vous défoncer le crâne sera pour moi un bon exercice.
qstr_{s16}_and_{s17}|{s16} et {s17}
qstr_Very_well_I_will_acc|Très bien, je vous accepte à nouveau dans nos rangs, si vous me donnez votre parole d'honneur que vous nous serez fidèle cette fois.
qstr_A_pardon_will_only_b|Vous serez peut-être pardonné si vous consentez à me livrer {s17}. Acceptez-vous ces conditions ?
qstr_No._There_is_no_chan|Non, cela ne m'intéresse pas, je ne vois pas pourquoi je vous accorderais cette grâce.
qstr_Our_marshal_{s1}|Notre maréchal, {s1}
qstr_{s11}_and_{s12}|{s11} et {s12}
qstr_We_are_not_at_war_wi|Nous vivons enfin des heures de paix.
qstr_We_are_at_war_with_{|Nous sommes en guerre avec le {s12}.
qstr_go_on_the_offensive_|Attaquez maintenant.
qstr_act_to_defend_our_la|Défendez nos terres.
qstr_take_more_time_to_ga|Prenez un peu plus de temps pour recruter plus d'hommes.
qstr_You_promised_to_help|Vous avez promis d'aider {s13} à récupérer le trône de {s14}.
qstr_What_do_you_say_to_e|Que diriez-vous d'entrer au service de {s9} en tant que capitaine mercenaires ? Il ne fait pour moi aucun doute que vous serez à la hauteur de cette tâche.
qstr_{s9}_asked_you_to_ta|{s9} vous a demandé de porter un message à {s13}. {s13} se trouvait à {s4} au moment où cette quête vous a été confiée.
qstr_{s9}_asked_you_to_tak|{s9} vous a demandé de transmettre une lettre à {s13} du {s15}. {s13} se trouvait à {s4} au moment où cette quête vous a été confiée.
qstr_{s11}_asked_you_to_e|{s11} vous a demandé d'escorter sa {s17} {s13} à {s14}.
qstr_{s13}_asked_you_to_d|{s13} vous a demandé de vous occuper des bandits qui terrorisent les habitants de {s15} et de lui faire ensuite votre rapport.
qstr_{s9}_asked_you_to_ra|{s9} vous a demandé d'entraîner {reg1} {s14} et de les lui amener.
qstr_{s9}_asked_you_to_co|Le {s9} vous a demandé de collecter les taxes de {s3}. Il vous accordera un cinquième du montant récolté.
qstr_{s9}_asked_you_to_hu|{s9} vous a demandé de traquer un fugitif du nom de {s4}. On raconte qu'il se cache à {s3}.
qstr_{s9}_asked_you_to_as|{s9} vous a demandé d'assassiner un marchand de {s3}.
qstr_{s9}_has_asked_you_t|{s9} vous a demandé de rencontrer un espion à {s13}.
qstr_{s11}_asked_you_to_f|{s11} vous a demandé de suivre l'espion qui quittera bientôt {s12}. Vous devez veiller à rester hors de sa vue car il pourrait se douter de quelque chose et faire demi-tour. Une fois que l'espion rencontrera son complice, vous devrez les capturer tous les deux et les amener à {s11}.
qstr_{s11}_asked_you_to_c|{s11} vous a demandé de capturer un seigneur du {s13}, n'importe lequel, et de le lui amener.
qstr_{s9}_asked_you_to_le|{s9} vous a demandé de lui prêter {s3} pour la semaine.
qstr_{s9}_asked_you_to_col|{s9} vous a demandé de récupérer une dette s'élevant à {reg4} écus auprès de {s3}. {s3} était à {s4} lorsque la quête vous a été confiée.
qstr_{s11}_gave_you_a_fak|{s11} vous a donné une fausse lettre afin que {s13} se débarrasse de son fidèle vassal, {s16}. Vous devez vous rendre près de {s14}, donner la lettre à l'un de vos {s15} et l'envoyer en ville en tant que messager. Il est important qu'il n'ait pas conscience de vos motivations réelles.
qstr_{s9}_has_requested_y|{s9} vous a demandé de capturer {reg1} {s3}.
qstr_Lend_your_experience|Prêtez votre chirurgien, {s3}, au {s1}.
qstr_Then_take_it_with_my|Tenez, avec ma gratitude éternelle. J'admire votre noblesse de coeur, je n'oublierai jamais ce que vous avez fait pour moi.
qstr_Forgive_me_{playerna|Pardonnez-moi {playername}, mais j'insiste pour que vous acceptiez. Cet argent ne représente pas grand chose pour moi et je vous dois tant, prenez-le et n'en parlons plus.
qstr_{playername}_what_a_|{playername}, de quelle noblesse vous faites preuve ! Mais je ne vous autorise pas à refuser. Vous avez fait bien plus pour moi que vous ne le pensez et je suis sûr que vous ferez un meilleur usage que moi de cet argent.
qstr_{s11}_asked_you_to_r|{s11} vous a demandé de sauver son {s17}, {s13}, retenu à {s14}, en échangeant vos vêtements afin que vous puissiez prendre sa place en prison.
qstr_{s11}_asked_you_to_re|{s11} vous a demandé de sauver sa {s17}, {s13}, retenue à {s14}.
qstr_{s11}_asked_you_to_d|{s11} vous a demandé de transmettre un message à {s13}, qui est emprisonné à {s14}.
qstr_You_agreed_to_challe|Vous avez accepté de défier {s13} pour défendre l'honneur de {s11}.
qstr_{s5}__Persuasion_str|{s5} (Facteur de persuasion : {reg5})
qstr_Persuasion_Attempt|Tentative de Persuasion
qstr_A_villager_from_{s7}|Un villageois de {s7} vous a supplié de sauver son village des bandits qui s'y sont installés.
qstr_You_chose_well_{sir/|Vous avez fait le bon choix {Messire/madame}, mes gars ont toujours su mériter leur paie.
qstr_Well_done_{sir/madam|Bien {Messire/madame}, donnez-nous du vin et des écus et vous n'aurez nul rival dans toute la France.
qstr_We_are_at_your_servi|Nous sommes à votre service, {Messire/madame}. Montrez-nous ceux qui ont besoin d'une leçon et nous nous occupons du reste.
qstr_The_Guildmaster_of_{|Le maître de Guilde de {s13} vous a demandé de vous occuper des pilleurs qui rôdent autour de la ville.
qstr_{s9}_of_{s3}_asked_y|{s9} de {s3} vous a demandé de livrer {reg5} {s6} à la taverne de {s4} dans les 7 jours.
qstr_Escort_the_merchant_|Escortez la caravane marchande jusqu'à {s8}.
qstr_Merchant_{s9}_of_{s4|Les marchands {s9} de {s4} vous ont demandé de débarrasser {s4} des bandits particulièrement virulents qui sévissent aux alentours de la ville.
qstr_Guildmaster_of_{s4}_|Le maître de Guilde de {s4} vous a donné {reg12} écus pour payer la rançon d'une jeune fille enlevée par des bandits. Vous devez trouver ces bandits qui se trouvent près de {s3} et payer la rançon. Ensuite, vous devrez raccompagner la jeune fille à {s4}.
qstr_Guildmaster_of_{s4}_p|Le maître de Guilde de {s4} vous a promis {reg12} écus si vous vous assurez que {s12} et {s13} cessent de s'opposer à une trêve entre {s15} et {s14}. Pour cela, vous devez les convaincre ou les faire prisonniers jusqu'à ce que la paix soit effective.
qstr_The_Guildmaster_of_{s|Le maître de Guilde de {s14} vous a demandé de vous occuper des bandits qui terrorisent {s14}. Ils n'attaquent que de nuit et seulement ceux qui se promènent seuls.
qstr_Guildmaster_of_{s10}|Le maître de la guilde de {s10} vous a demandé de mener un troupeau de vaches jusqu'à {s13}. Vous gagnerez {reg8} écus en récompense.
qstr_He_is_not_commanding|Il n'a aucun homme sous ses ordres pour le moment.
qstr_He_currently_command|Il commande en ce moment {reg0} hommes{reg1?, dont {reg1} avec des blessures:}.
qstr_The_elder_of_the_vil|L'Ancien du village de {s3} vous a demandé de lui apporter {reg5} sacs de grain.
qstr_The_elder_of_the_vill|L'Ancien du village de {s13} vous a demandé d'entraîner {reg5} fermiers afin d'organiser la défense contre les bandits. 
qstr_The_elder_of_the_villa|L'Ancien du village de {s3} vous a demandé de lui apporter {reg5} têtes de bétail.
qstr_{s16}_and_{s15}|{s16} et {s15}
qstr_I_can_smell_a_fat_pu|Je n'irai pas par quatre chemins, l'odeur de votre bourse attise ma convoitise, puis-je convenablement l'alléger ?
qstr_Why_it_be_another_tr|Comme les voyageurs sont fréquents en ce moment sur ces chemins, je dois vous avertir que cela augmente d'autant les dangers pour {un brave homme/une brave dame} comme vous. En échange d'une modeste rétribution, on peut garantir votre sécurité. Qu'en dites-vous ?
qstr_Well_well_look_at_th|Il y a des circonstances où il faut savoir délier sa bourse, {mon ami/mon amie}, ou nous pourrions nous montrer désobligeants.
qstr_There_s_a_toll_for_p|Il faut acquitter un droit de passage pour pouvoir continuer sa route en toute quiétude. Donc si cela ne vous fait rien, on va se servir nous-mêmes dans votre bourse.
qstr_Another_fool_come_to|Il ne faut pas contrarier les imbéciles qui veulent s'empaler sur ma lame, qu'on leur donne ce plaisir !
qstr_We_re_not_afraid_of_|Point de peur à vous rencontrer, la mort vous guette et nous vous délesterons de tout l'or qui embarrasse vos poches !
qstr_That_was_a_mistake._|J'admire votre erreur, il est maintenant temps de la payer, une mort lente et douloureuse vous attend.
qstr_Brave_words._Let_s_s|Les belles paroles ne sont qu'illusions, les actes feront la différence, les miens seront destructeurs et se solderont par votre mort.
qstr_A_{s5}?_Well..._Yes_|Un {s5} ? Eh bien je suppose que oui. Quelle drôle de question !
qstr_Eh?_No_it_most_certa|Pardon ? Non, ce n'est pas du tout un {s5}, à votre place je me poserais des questions sur ma vue.
qstr_This_is_the_{reg4?to|C'est {reg4?la ville:le village} qui a pour nom {s5}, {Messire/madame}.
qstr_{s6}_Our_{reg4?town:|{s6} Notre {reg4?ville:village} et ses environs vous appartiennent.
qstr_{s6}_Our_{reg4?town:v|{s6} Notre {reg4?ville:village} et ses environs appartiennent à l'honorable {s7} du {s8}.
qstr_{s3}_and_{s5}|{s3} et {s5}
qstr_{reg20?We_mostly_pro|{reg20? Ici nous produisons surtout: {s5}:Nous ne produisons pas grand-chose ces temps-ci}. Si vous voulez en apprendre davantage, vous devriez vous adresser {reg4?au maître de Guilde:à l'ancien du village}. Il est sans doute dans le coin.
