qst_deliver_message|Deliver Message to {s13}
qst_deliver_message_to_enemy_lord|Deliver Message to {s13}
qst_raise_troops|Raise {reg1} {s14}
qst_escort_lady|Escort {s13} to {s14}
qst_deal_with_bandits_at_lords_village|Save the Village of {s15} from Marauding Bandits
qst_collect_taxes|Collect Taxes from {s3}
qst_hunt_down_fugitive|Hunt Down {s4}
qst_kill_local_merchant|Assassinate Local Merchant at {s3}
qst_bring_back_runaway_serfs|Bring Back Runaway Serfs
qst_follow_spy|Follow the Spy to Meeting
qst_capture_enemy_hero|Capture a Lord from {s13}
qst_lend_companion|Lend Your Companion {s3} to {s9}
qst_collect_debt|Collect the Debt {s3} Owes to {s9}
qst_incriminate_loyal_commander|Incriminate the Loyal Commander of {s13}, {s16}
qst_meet_spy_in_enemy_town|Meet Spy in {s13}
qst_capture_prisoners|Bring {reg1} {s3} Prisoners
qst_lend_surgeon|Lend Your Surgeon {s3} to {s1}
qst_follow_army|Follow {s9}'s Army
qst_report_to_army|Report to {s13}, the Marshall
qst_deliver_cattle_to_army|Deliver {reg3} Heads of Cattle to {s13}
qst_join_siege_with_army|Join the Siege of {s14}
qst_screen_army|Screen the Advance of {s13}'s Army
qst_scout_waypoints|Scout {s13}, {s14} and {s15}
qst_rescue_lord_by_replace|Rescue {s13} from {s14}
qst_deliver_message_to_prisoner_lord|Deliver Message to {s13} at {s14}
qst_duel_for_lady|Challenge {s13} to a Trial of Arms
qst_duel_courtship_rival|Challenge {s13} to a Trial of Arms (optional)
qst_duel_avenge_insult|Challenge {s13} to a Trial of Arms
qst_move_cattle_herd|Move Cattle Herd to {s13}
qst_escort_merchant_caravan|Escort Merchant Caravan to {s8}
qst_deliver_wine|Deliver {reg5} Units of {s6} to {s4}
qst_troublesome_bandits|Hunt Down Troublesome Bandits
qst_kidnapped_girl|Ransom Girl from Bandits
qst_persuade_lords_to_make_peace|Make Sure Two Lords Do Not Object to Peace
qst_deal_with_looters|Deal with Looters
qst_deal_with_night_bandits|Deal with Night Bandits
qst_deliver_grain|Bring wheat to {s3}
qst_deliver_cattle|Deliver {reg5} Heads of Cattle to {s3}
qst_train_peasants_against_bandits|Train the Peasants of {s13} Against Bandits.
qst_eliminate_bandits_infesting_village|Save the Village of {s7} from Marauding Bandits
qst_visit_lady|Visit Lady
qst_formal_marriage_proposal|Formal Marriage Proposal
qst_obtain_liege_blessing|Formal Marriage Proposal
qst_wed_betrothed|Wed Your Betrothed
qst_wed_betrothed_female|Wed Your Betrothed
qst_join_faction|Give Oath of Homage to {s1}
qst_rebel_against_kingdom|Help {s13} Claim the Throne of {s14}
qst_consult_with_minister|Consult With Minister
qst_organize_feast|Organize Feast
qst_resolve_dispute|Resolve Dispute
qst_offer_gift|Procure Gift
qst_denounce_lord|Denounce Lord
qst_intrigue_against_lord|Intrigue against Lord
qst_track_down_bandits|Track Down Bandits
qst_track_down_provocateurs|Track Down Provocateurs
qst_retaliate_for_border_incident|Retaliate for a Border Incident
qst_raid_caravan_to_start_war|Attack a Neutral Caravan to Provoke War
qst_cause_provocation|Give a Kingdom Provocation to Attack Another
qst_rescue_prisoner|Rescue or Ransom a Prisoner
qst_destroy_bandit_lair|Destroy Bandit Lair
qst_collect_men|Collect Five Men
qst_learn_where_merchant_brother_is|Learn Where the Hostages are Held
qst_save_relative_of_merchant|Attack the Bandit Lair
qst_save_town_from_bandits|Save Town from Bandits
qst_rebelc1|[Rebels] Meet the Rebel Chief of Montpellier
qst_rebelvivre_montpelier|[Rebels] Find Supplies for the Rebels of Montpellier
qst_rebel_attack_c1|[Rebels] Attack the Weapons Convoy Near the Village of Rodez
qst_sl_1caserne|[Freelancers] Pass the Admission Test to Work with Freelancers
qst_sl_patrouil1|Freelancers] Patrolling in Bourges as a Reinforcement to the Militia
qst_sl_ivrogne1|[Freelancers] Remove the Drunk Mercenary from the Tavern of Three Lilies
qst_sl_viland_troop1|[Freelancers] Get Rid of the Gang of Robbers Prowling Around Bourges
qst_sl_viland_attack1|[Freelancers] Join the Battle at Bourges Warehouses
qst_sl_deffensse_benezet|[Freelancers] Rally to Avignon to Defend the Freelancers Supporting a Siege
qst_rebel_camp_atck1|[Rebels] Attack the English Camp That Expects Reinforcements From Castle Puy
qst_rebel_toul|[Rebels] Join the Rebels in the Village of Toul that was Claimed by the Plague
qst_rebel_chearchcamp|[Rebels] Search the Ruins of Toul to Find the Burgundian Rebels
qst_rebel_entrepmetz|[Rebels] Attack the Food Stores of Metz
qst_rebel_placeforte|[Rebels] Take Burgundian Strongpoint
qst_rebel_shearchlico|[Unicorn] Meet the Rebel Hero That Everyone Calls the Unicorn
qst_rebel_assas_comtcaen|[Unicorn] Murder Important Enemy Characters
qst_rebel_asassin_chasse|[Unicorn] Kill the English Governor in his Hunting Camp
qst_rebel_manoir|[Unicorn] Poison the Banker at the Manor of Reims
qst_rodrig_vol_cle|[Brigands] Recover a Key For Villandrandro
qst_cambriolage_chateau|[Brigands] Rob Castle Tours
qst_extorsion|[Brigands] Claim Payment of the Merchants of Paris.
qst_kill_mathieu|[Brigands] Kill the Traitor
qst_conffes_chevalier|[Unicorn] Confess to Become a Knight
qst_rebel_catahugry|[Rebels] Find Provisions for the Rebels Hiding in the Catacombs of Paris
qst_rebel_cataparang|[Rebels] Get Rid of the English Patrol in the Catacombs of Paris
qst_crypt_sworr|Find the Sword of the Squire
qst_find_epeepour_jeanne|[Joan of Lorraine] Find a Mysterious Sword
qst_foret_filleroeun|Find the Daughter of a Rich Merchant of Rouen
qst_cata_compagnon|Find the Husband of Madeleine of Montpellier
qst_messager_qst0|[Messengers] Take the Letter to the Guild Master of Montpellier
qst_messager_qst1|[Messengers] Take the Letter to the Guild Master of Marseille
qst_messager_qst2|[Messengers] Take the Letter to the Guild Master of Paris
qst_messager_qst3|[Messengers] Take the Letter to the Guild Master of Dijon
qst_messager_qst4|[Messengers] Take the Letter to the Guild Master of Caen
qst_messager_qst5|[Messengers] Take Cargo to a Book Merchant in Bordeaux
qst_messager_qst6|[Messengers] Take Cargo to an Armorer in Paris
qst_messager_qst7|[Messengers] Take Cargo to an Armorer in Avignon
qst_messager_qst9|[Messengers] Take Cargo to a Blacksmith in Reims
qst_messager_qst0b|[Messengers] Take the Letter to the Guild Master of Montpellier
qst_messager_qst1b|[Messengers] Take the Letter to the Guild Master of Marseille
qst_messager_qst2b|[Messengers] Take the Letter to the Guild Master of Paris
qst_messager_qst3b|[Messengers] Take the Letter to the Guild Master of Dijon
qst_messager_qst4b|[Messengers] Take the Letter to the Guild Master of Caen
qst_messager_qst5b|[Messengers] Take Cargo to a Book Merchant in Bordeaux
qst_messager_qst6b|[Messengers] Take Cargo to an Armorer in Paris
qst_messager_qst7b|[Messengers] Take Cargo to an Armorer in Avignon
qst_messager_qst9b|[Messengers] Take Cargo to a Blacksmith in Reims
qst_messager_qst0d|[Messengers] Take the Letter to the Guild Master of Montpellier
qst_messager_qst1d|[Messengers] Take the Letter to the Guild Master of Marseille
qst_messager_qst2d|[Messengers] Take the Letter to the Guild Master of Paris
qst_messager_qst3d|[Messengers] Take the Letter to the Guild Master of Dijon
qst_messager_qst4d|[Messengers] Take the Letter to the Guild Master of Caen
qst_messager_qst5d|[Messengers] Take Cargo to a Book Merchant in Bordeaux
qst_messager_qst6d|[Messengers] Take Cargo to an Armorer in Paris
qst_messager_qst7d|[Messengers] Take Cargo to an Armorer in Avignon
qst_messager_qst9d|[Messengers] Take Cargo to a Blacksmith in Reims
qst_messager_qst0m|[Messengers] Take the Letter to the Guild Master of Montpellier
qst_messager_qst1m|[Messengers] Take the Letter to the Guild Master of Marseille
qst_messager_qst2m|[Messengers] Take the Letter to the Guild Master of Paris
qst_messager_qst3m|[Messengers] Take the Letter to the Guild Master of Dijon
qst_messager_qst4m|[Messengers] Take the Letter to the Guild Master of Caen
qst_messager_qst5m|[Messengers] Take Cargo to a Book Merchant in Bordeaux
qst_messager_qst6m|[Messengers] Take Cargo to an Armorer in Paris
qst_messager_qst7m|[Messengers] Take Cargo to an Armorer im Avignon
qst_messager_qst9m|[Messengers] Take Cargo to a Blacksmith in Reims
qst_banque30|[Bankers] Repay 3300 Denars to the Bankers
qst_banque60|[Bankers] Repay 6600 Denars to the Bankers
qst_banque90|[Bankers] Repay 9900 Denars to the Bankers
qst_banque14|[Bankers] Repay 15400 Denars to the Bankers
qst_braconage|Poachers
qst_tresort_t|The Treasure of the Templars
qst_rennes_chateau|An Unlikely Path
qst_ouvrire_loge|The Secret Lodge
qst_loge_s_paris|Near the Goal
qst_auberge_quete_1|The Mansion in the Valley
qst_cheval_perdu|The Horse in the Meadow
qst_pour_le_duc|For the Duke!
qst_fer_pour_la_guerre|Iron for War
qst_volntaires_mine|Volunteers
qst_expedition_mine|Towards the Center of the Earth
qst_terrier|The Stoat's Burrow
qst_tuer_mercenaire|By All Means
qst_bois_descerfs|Deer Hunter
qst_port_lac|The Door to the Lake
qst_pnj_perdu_foretaub|Frozen Forest
qst_vangeance_cravane|Revenge of the Caravaneers
qst_surveillance1|The Guard Post
qst_siege_penthievre|The Siege of Quintin
qst_freelancer_enlisted|Enlisted in the Party of {s13}
qst_freelancer_vacation|Enlisted: On Leave
qst_freelancer_captured|Enlisted: Captured
qst_quests_end|Quests En
